time_ms_,trace1,trace2,trace3,trace4,trace5,trace6,trace7,trace8,trace9,trace10,trace11
2424,0.434959066895795,0.377358904135794,0.483218662721743,0.804534165253211,1.34317352511701,2.04682956748243,2.85198643719791,3.65932277253134,4.53577930317677,5.35619243221787,6.08537935753638
2424.5,0.421259568725849,0.370197802819686,0.474189448018823,0.797995768399372,1.3413054117302,2.05149985094946,2.8491842671177,3.67738120193718,4.54231770003061,5.34218158181679,6.10530590032903
2425,0.433713657971255,0.377981608598064,0.463914824391364,0.805779574177751,1.33258754925841,2.03717764831724,2.84731615373089,3.66804063500312,4.53764741656358,5.33719994611863,6.08008636960708
2425.5,0.431222840122174,0.366150223814929,0.482595958259472,0.802043347404129,1.33289890148955,2.05212255541173,2.83299395109867,3.65091626229069,4.5529036758892,5.3387567072743,6.09098369769681
2426,0.429977431197633,0.365527519352658,0.484464071646283,0.807336335333427,1.34037135503679,2.03997981839746,2.85727942512721,3.6643044082295,4.54698798349763,5.34187022958566,6.10343778694222
2426.5,0.421570920956984,0.382029187602821,0.479171083716986,0.810138505413643,1.33912594611225,2.03562088716157,2.86101565190083,3.66804063500312,4.54511987011082,5.34840862643949,6.07666149506459
2427,0.435893123589201,0.362102644810172,0.469207812320661,0.798307120630508,1.3307194358716,2.04215928401541,2.84575939257521,3.66150223814929,4.56317829951666,5.34218158181679,6.08102042630049
2427.5,0.421882273188119,0.38016107421601,0.48788894618877,0.797995768399372,1.33383295818295,2.05118849871832,2.85416590281586,3.67862661086172,4.53328848532769,5.34373834297247,6.08942693654113
2428,0.412541706254065,0.362413997041307,0.483218662721743,0.79239142823894,1.34286217288587,2.04932038533151,2.85292049389132,3.66648387384745,4.54356310895515,5.32536856133549,6.08444530084297
2428.5,0.438695293669417,0.375802142980118,0.455508314150715,0.793636837163481,1.32636050463571,2.0474522719447,2.8501183238111,3.64282110428118,4.53297713309655,5.31696205109484,6.09814479901292
2429,0.438072589207147,0.372688620668767,0.485709480570824,0.811383914338184,1.35531626213128,2.04060252285973,2.85509995950926,3.6811174287108,4.52737279293612,5.33533183273182,6.09970156016859
2429.5,0.428732022273092,0.39043569784347,0.45644237084412,0.799863881786183,1.33663512826317,2.041225227322,2.85790212958948,3.66679522607858,4.55103556250239,5.33906805950544,6.09721074231951
2430,0.417834694183362,0.392615163461416,0.481039197103797,0.786164383616237,1.33227619702728,2.04465010186449,2.86848810544808,3.66523846492291,4.54356310895515,5.35401296659993,6.10841942264038
2430.5,0.422193625419254,0.370509155050821,0.465471585547039,0.788655201465318,1.32791726579139,2.04247063624654,2.82925772432505,3.66617252161631,4.54511987011082,5.35432431883106,6.09503127670157
2431,0.441186111518498,0.370197802819686,0.471698630169742,0.817299606729751,1.3297853791782,2.03437547823703,2.85977024297629,3.6643044082295,4.52612738401158,5.31384852878349,6.08039772183822
2431.5,0.426552556655146,0.375179438517848,0.472632686863148,0.796127655012562,1.33352160595182,2.04558415855789,2.84793885819316,3.6474913877482,4.52550467954931,5.34591780859041,6.09316316331476
2432,0.432779601277849,0.36864104166401,0.473566743556553,0.800175234017319,1.32137886893755,2.03748900054838,2.85509995950926,3.67613579301264,4.52799549739839,5.35588107998674,6.08164313076276
